REL_LABEL,REL_TOK,REL_FRAME
CONTAINS,"tidally-influenced waters of fresh , marine , or mixed chemistry",
HAS_FORM,open to the Earth ’ s surface,
COMPOSITION_MEDIUM,mineral and amorphous forms of iron oxides and hydroxides,
HAS_ATTRIBUTE,resistant to erosion,
COMPOSITION_MEDIUM,made of cemented quartz sand,made of
HAS_CAUSE,formed mainly by solutional processes of carbonate rocks,formed mainly by
HAS_LOCATION,surface and subsurface,
HAS_LOCATION,above known large caves,above
HAS_POSITION,common features of the Dinaric karst,
HAS_SIZE,large,
HAS_CAUSE,result of solutional processes and karst water drainage,result of
HAS_FORM,depressions with flat bottoms,with
OCCURS_IN_TIME,for at least part of the year,for
HAS_FORM,lack an active watercourse over all or parts of their length,
HAS_CAUSE,because water is lost in karst or is in a much lower position,because
COMPOSITION_MEDIUM,and / or fossils cemented together or with a matrix of finer sediment of rock,
HAS_FORM,angular fragments of rock,fragments of
HAS_FORM,consisting of a flowstone cover of a bedrock projection and of a fringe of stalactites or shawls on the outer edge,consisting of a
HAS_CAUSE,frequently formed by a river rising on impervious rocks outside the karst area,formed by a
HAS_FORM,deep valley with steep to vertical walls,
HAS_CAUSE,cut by running water in the roof or floor of a cave,cut by
HAS_FUNCTION,forming a cave passage,forming a
HAS_FORM,"deep , elongated cavity",
CONTAINS,may be water-filled,
HAS_SIZE,large enough to be entered by man,large enough
COMPOSITION_MEDIUM,in rock,in
COMPOSITION_MEDIUM,of egg-shell calcite,
HAS_FORM,almost perfect hemisphere,
HAS_SIZE,very small,
HAS_FORM,consisting of short stalks with bulbous ends,consisting of
HAS_FORM,usually occurring in numbers in patches,
CONTAINS,"clay , silt , fine sand and / or humus",
HAS_LOCATION,in a cave,
STUDIES,climatic influences,
STUDIES,energy input from surface,
STUDIES,the interaction between cave organisms and their environment,the interaction between
HAS_LOCATION,cover the bedrock floor,
HAS_RESULT,partially or wholly block some part of a cave,
COMPOSITION_MEDIUM,"transported materials such as silt , day , sand and gravel",
HAS_LOCATION,found in shallow hollows into which water drips,found in
HAS_FORM,polished,
HAS_FORM,smooth,
HAS_FORM,rounded,
HAS_LOCATION,inside a cave,inside a
COMPOSITION_MEDIUM,from rock or sediment,
CONTAINS,linked hydrologically,
CONTAINS,caves interconnected by enterable passages,
CONTAINS,extensive complex of chambers and passages,extensive complex of
HAS_SIZE,very large,
HAS_LOCATION,within a cave,within a
HAS_FORM,wall-sided,
HAS_ATTRIBUTE,water-tilled,
HAS_LOCATION,remaining in the ceiling of a cave,of a|in the
HAS_CAUSE,natural,
HAS_FORM,Steep-walled,
HAS_CAUSE,caused by collapse of a cave roof,caused by
HAS_POSITION,in Yucatan,
HAS_LOCATION,extends below the water tabl,extends below
HAS_ATTRIBUTE,generally light in color,generally
COMPOSITION_MEDIUM,commonly composed of the tests of floating microorganisms,composed of
HAS_LOCATION,in a matrix of verv finely crystalline calcite,in a
HAS_FORM,Soft poorly indurated,
HAS_SIZE,considerable length and breadth but not necessarily great height,
HAS_LOCATION,in a cave or cave system,in a
HAS_SIZE,The largest,
HAS_LOCATION,in the earth's surface,in the
HAS_FORM,deep,
HAS_FORM,fairly narrow,
HAS_FORM,A narrow vertical shaft,
HAS_SIZE,generally smaller than an aven,smaller than
HAS_LOCATION,in the roof of a cave,in the
HAS_LOCATION,wedged between the walls of a cave passage,
DEFINED_AS,Rock debris or cave fill,
HAS_FUNCTION,completely blocking a passage,completely blocking a
HAS_LOCATION,in a cave,in a
HAS_FORM,inclined channel or trough,
HAS_FUNCTION,that fills a cave passage,fills a
DEFINED_AS,Dry or wet clay,
OCCURS_IN_TIME,time interval between end of phreatic solution of a cave and beginning of deposition of flowstone,time interval
HAS_FORM,"Widened joints , or grikes , isolate individual clints",
HAS_LOCATION,parallel to the bedding,
HAS_FUNCTION,forming a pavement,forming a
DEFINED_AS,Slabs of limestone,
DEFINED_AS,enclosed topographic basin,
HAS_FUNCTION,having no external drainage,
HAS_FORM,enclosed,
HAS_FORM,having a conical or slightly concave floor,having a|concave floor|conical
HAS_FORM,star-shaped,
HAS_LOCATION,Cockpits are the common type of closed depressions in a Kegelkarst,in a
CONTAINS,containing many closed depressions surrounded by conical hills,containing
HAS_LOCATION,Tropical,
HAS_CAUSE,solution,
HAS_LOCATION,on surface exposures of limestone,
HAS_SIZE,Small,
HAS_LOCATION,most common in arid or semiarid areas,most common in
HAS_CAUSE,Microsolution,
HAS_LOCATION,on rock surface,
COMPOSITION_MEDIUM,Calcareous,
HAS_LOCATION,"formed around the rims of overflowing basins , especially in caves",formed around the
HAS_LOCATION,"in caves , around springs",
HAS_FORM,wall-shaped,
HAS_FUNCTION,"that impounds pools of water in caves , around springs , and in cascades of streams saturated with calcium bicarbonate",saturated with|impounds
HAS_CAUSE,kept in place by a rimstone dam,
COMPOSITION_MEDIUM,in limestone,
HAS_LOCATION,rising from fractures in limestone,rising from
DEFINED_AS,Point at which an underground stream comes to the surface,
COMPOSITION_MEDIUM,mass of bedrock,
HAS_FORM,A residual isolated mass of bedrock linking the roof or overhanging wall and floor of a cave,
HAS_LOCATION,rising from the floor of a cave,rising from the
HAS_FORM,A tall sharp projection of bedrock,
HAS_CAUSE,"where streams have undercut their banks at bends , or where there has been abrasion by blowing sand",
COMPOSITION_MEDIUM,Also found in limestone and other rock types,found in
HAS_LOCATION,Common in tropical areas at places where a secondarily hardened layer of limestone forms a ledge that projects over unindurated limestone,
HAS_FORM,Shallow,
HAS_LOCATION,under an overhanging rock ledge,under an
HAS_LOCATION,deposited on ceilings of caves,
HAS_CAUSE,"thin films of water , which have crept over the rock from pore or crack sources .",
HAS_SIZE,that is wider than a passage,that is wider than
COMPOSITION_MEDIUM,made of calcite cemented sandstone,made of
HAS_LOCATION,formed on sand,formed on
COMPOSITION_MEDIUM,limestone,
HAS_CAUSE,which has fallen from the ceiling or wall of a eave,
HAS_FORM,"thin small rather irregular piece of limestone , commonly crumbly",
COMPOSITION_MEDIUM,in thin-tedded impure limestone,in
HAS_CAUSE,that has fallen to the floor of a cave,
HAS_FORM,A small flat piece of rock of rectangular or polygonal shape,
HAS_FORM,cut by closely spaced joints,
HAS_FORM,Oval hollow having an asymmetric cross section along its main axis,
HAS_FORM,since they are steeper on the upstream side,
HAS_LOCATION,Scallops form patterns on tl e walls of caves and in streambeds,
MEASURES,were used by Bretz to determine direction of flow of turbulent water,to determine
HAS_CAUSE,eroded by waves or currerts or dissolved by water,eroded by|dissolved by
HAS_LOCATION,in a sea cliff,
HAS_LOCATION,formed along a bedding plane in karst country,formed along a
HAS_CAUSE,due to presence of karstified rocks beneath the surface formation,due to
COMPOSITION_MEDIUM,in noncarbonate rocks,
HAS_LOCATION,offshore,
HAS_SIZE,Large,
COMPOSITION_MEDIUM,"generally from cavernous limestone , but in some areas from beds of lava",
HAS_CAUSE,Caused in karst areas by subterranean solution or collapse of caves,Caused in
HAS_CAUSE,Lowering of the surface of the ground because of removal of support,because of
HAS_LOCATION,Underground,
CONTAINS,of flowing water,
HAS_SIZE,not necessarily large,
HAS_FORM,pool of underground water,
HAS_LOCATION,on an underground stream,on an
HAS_ATTRIBUTE,that has a submerged extension,
COMPOSITION_MEDIUM,in a limestone region,
HAS_LOCATION,in a closed depression or blind valley,
HAS_FUNCTION,place where water disappears urderground,disappears
HAS_FUNCTION,implies water loss,
HAS_LOCATION,where lithification of dune sands and productior of karst phenomena occurred simultaneously,
COMPOSITION_MEDIUM,developed in eolian calcarenite,developed in
HAS_LOCATION,on outward-sloping walls,
HAS_SIZE,Shallow,
COMPOSITION_MEDIUM,rimstone,
HAS_LOCATION,to which light penetrates in some degree,
HAS_FUNCTION,through which a stream runs from entrance to exit or formerly did so,
HAS_FORM,more or less circular,
HAS_SIZE,Large,
HAS_ATTRIBUTE,having an air-water surface above that of adjacent free air-water surfaces,
HAS_ATTRIBUTE,sealed by water,
HAS_LOCATION,submerged,
HAS_ATTRIBUTE,at a pressure below atmospheric pressure,
CONTAINS,airfilled,
HAS_SIZE,small,
HAS_SIZE,little,
COMPOSITION_MEDIUM,of limestone,
HAS_LOCATION,in karst areas,
HAS_FORM,flat-topped,
HAS_FORM,characterized by isolated limestone hills separated by areas of alluvium or other detrital sand,
HAS_FORM,"towers are generally steep-sided forest-covered hills , and many have flat tops",
COMPOSITION_MEDIUM,Limestone,
CONTAINS,extensive growth of cedar trees,
HAS_LOCATION,along a joint,along a
COMPOSITION_MEDIUM,in a limestone pavement,in a
HAS_FORM,vertical or subvertical fissure,
HAS_CAUSE,developed by solution,developed by
HAS_SIZE,small,
HAS_CAUSE,natural or artificial,
HAS_LOCATION,in a cave system,in a
HAS_SIZE,of moderate dimensions,of|dimensions
HAS_ATTRIBUTE,richly decorated,
HAS_FORM,Steep-walled closed depression having a flat alluviated bottom,
CONTAINS,a stream flows across the bottom,
COMPOSITION_MEDIUM,composed of hydrous calcium sulfate,composed of
CONTAINS,containing domeshaped residual hills surrounding depressions,containing
HAS_FUNCTION,in which the stream overflows in floodtirae,in which
HAS_CAUSE,when the swallow hole can not accep t all the water,
HAS_LOCATION,in the roof or wall of a cave,in the
HAS_LOCATION,In a cave,In a
HAS_FORM,a lofty chamber,
HAS_SIZE,much longer than it is wide,much
HAS_FORM,projecting down from the ceiling,projecting down from
HAS_FORM,rounded conical hill,
HAS_LOCATION,In the tropics,In the
HAS_CAUSE,developed as a result of solution,developed as a result of
COMPOSITION_MEDIUM,of limestone,of
COMPOSITION_MEDIUM,of calcium carbonate,of
HAS_LOCATION,found in caves,found in
HAS_FORM,curved or angular twiglike lateral projection,
HAS_FORM,having a tiny central canal,having a
HAS_FORM,curved or angular thin stalagmite,
HAS_LOCATION,growing upward from a cave floor or from a shelf in a cave,
CONTAINS,"Karren , dolines , uvalas , poljes , deep ponors , and extensive cave systems",
HAS_LOCATION,that extend below sea level,
HAS_FUNCTION,have little or no surface drainage,
HAS_POSITION,Dinaric Karst,
CONTAINS,bare surfaces,
COMPOSITION_MEDIUM,on thick deposits of limestone,on
COMPOSITION_MEDIUM,Residual hill of limestone,
HAS_LOCATION,on a fairly level floor,on a
HAS_ATTRIBUTE,the average temperature is below 0 ° C,
COMPOSITION_MEDIUM,generally in lava or limestone,generally in
CONTAINS,contains perennial ice,contains
HAS_CAUSE,as a result of concentration processes by near-surface evaporation,as a result of
HAS_LOCATION,near the water table in arid lands,near
HAS_CAUSE,forming from groundwater,
CONTAINS,the presence of troglobiotic species in it,
CONTAINS,the presence of brackish water,
HAS_CAUSE,the origin of such caves was due to wave action and their gradual loss of connection to the sea,due to
HAS_LOCATION,by its position at the sea coast,by
HAS_LOCATION,where the salinity abruptly changes,where
COMPOSITION_MEDIUM,of seasonal snow,
HAS_LOCATION,accumulates on the upper elevations of a glacier,accumulates on
HAS_ATTRIBUTE,buries the previous season ’ s accumulation,
COMPOSITION_MEDIUM,develops where the soluble rock has been almost completely exposed from beneath the cover,develops where
HAS_CAUSE,with substantial inheritance of solution porosity from the preceding stages of intrastratal development,
OCCURS_IN_TIME,commences only after exposure of the soluble rock,commences only after
HAS_ATTRIBUTE,without any significant intrastratal karstification,without
HAS_FORM,"straight , clear",
HAS_LOCATION,in some caves,
HAS_CAUSE,that grow by extrusion from the soil,
HAS_SIZE,generally with fiber lengths of a few tens of centimeters but diameters of tens or hundreds of micrometers,
HAS_LOCATION,between mineral grains,
HAS_LOCATION,In porous media aquifers,In
HAS_FUNCTION,available for the storage of water,available for
MEASURES,is usually expressed as a percentage,expressed as
MEASURES,ratio of the volume of pores to the volume of bulk rock,ratio of
HAS_FUNCTION,draining open conduit systems,
HAS_LOCATION,within favorable areas of soluble rocks,within
HAS_CAUSE,formed by widening of nearly all major fractures,formed by
COMPOSITION_MEDIUM,consists of successions of perfectly transparent ice knobs and narrow sections of opaque ice,consists of
HAS_FORM,vertical,
HAS_CAUSE,that develop where a water film flows down a high angle rock face,that develop where
COMPOSITION_MEDIUM,"the forms of CO3 ( mainly CaCO , MgCO ) , HCO , CO , CH , and ( CH O ) n ( organic carbon",the forms of
HAS_LOCATION,"between the lithosphere , the hydrosphere , the atmosphere and the biosphere",between the
DEFINED_AS,is defined as the processes of the transformation and movement of the carbon,is defined as
HAS_LOCATION,between the subsurface and the surface environments,between the
HAS_LOCATION,In karst regions of the world,In
HAS_CAUSE,form as corrosion residues,form as
HAS_RESULT,providea substrate for extremely acidic ( pH 0 - 1 ) biofilms known as snottites,providea
HAS_RESULT,results in a decrease in volume,results in a
HAS_FUNCTION,thus enhancing secondary porosity and hydraulic conductivity,thus enhancing
HAS_LOCATION,between the surface and subsurface environments,between the
DEFINED_AS,can be conceptualized as the vadose critical zone of epigenic karst systems,can be conceptualized as
HAS_FUNCTION,permeable boundary,
HAS_FORM,that has a variable thickness and lateral extent,that has a
HAS_FUNCTION,through which surface water and groundwater exchange and mix,through which
HAS_ATTRIBUTE,usually associated with a coupled river - alluvial aquifer system ),associated with
CONTAINS,"including processing of organic matter , and the flux of animals",including
COMPOSITION_MEDIUM,since it is made up almost exclusively of quartz grains,is made up almost exclusively of
HAS_FORM,which was well washed,
HAS_CAUSE,but can also be created as a precipitate in marshes and springs,can also be created as
HAS_CAUSE,created in the oxidation of various iron minerals,created in
HAS_CAUSE,"are the result of dripping , running , trickling , trapped , condensed water etc",are the result of
HAS_RESULT,"creating coatings , waterfalls and canopies",creating
HAS_FORM,with gently sloping hills,with
HAS_LOCATION,lower,
HAS_SIZE,can amount to several 10 per km2,can amount to
HAS_SIZE,smaller,
HAS_LOCATION,that can be found particularly on flat parts of land,can be found particularly on
HAS_SIZE,Smaller,
HAS_CAUSE,that are shaped by eddies,shaped by
HAS_FORM,shallow,
HAS_SIZE,up to a few cm long,up to
HAS_LOCATION,in a cave,in a
HAS_FORM,vertical,
HAS_CAUSE,especially one formed by subsidence,formed by
COMPOSITION_MEDIUM,in loose draft or alluvium overlying beds of limestone,
HAS_CAUSE,"formed by solution , subsidence , and compaction",formed by
COMPOSITION_MEDIUM,A thin coating of calcium carbonate,
HAS_LOCATION,"formed on walls , shelves , benches , and terraces",formed on
HAS_CAUSE,by trickling water,by
HAS_FORM,triangular-shaped,
HAS_FORM,disk-shaped,
HAS_LOCATION,standing edgewise at a high angle,
HAS_FORM,"They may be basin , funnel , or cylindrical shaped",shaped
CONTAINS,on which most of the local relief is due to closed depressions,
HAS_FUNCTION,nearly all drainage is subterranean,
COMPOSITION_MEDIUM,in limestone,
HAS_SIZE,Small,
HAS_CAUSE,due to an impervious clay floor or to intersection of depression with the water table,due to an
HAS_LOCATION,in closed depression,
HAS_SIZE,small,
HAS_FUNCTION,that disappears underground,
HAS_CAUSE,deposited by a mineral spring,deposited by
COMPOSITION_MEDIUM,consisting of calcium carbonate,consisting of
COMPOSITION_MEDIUM,consisting of silica,consisting of
HAS_LOCATION,in which the ceiling dips below a water surface,
HAS_LOCATION,the clay fill of a cave floor,
HAS_CAUSE,caused by erosion beneath the fill,caused by
COMPOSITION_MEDIUM,formed on bare limestone,formed on
HAS_FORM,Shallow,
HAS_CAUSE,solution,
HAS_FORM,generally characterized by flat bottom and overhanging sides,characterized by
COMPOSITION_MEDIUM,"filled with debris , such as sand , clay , rock chips , and bones",filled with
HAS_FORM,often without surface expression,
HAS_CAUSE,attributable to solution,attributable to
HAS_FORM,vertical cylindrical,
HAS_FORM,deep vertical,
HAS_SIZE,deep,
COMPOSITION_MEDIUM,in limestone,
HAS_FORM,open to the surface,
HAS_FORM,A vertical,
CONTAINS,having water at the bottom,having
COMPOSITION_MEDIUM,in limestone,
HAS_LOCATION,in a cave system,in a
HAS_FORM,complex pattern of repeatedly connected passages,
HAS_LOCATION,along a seacoast between high and low tide levels,along a
HAS_FORM,undercutting notch,
COMPOSITION_MEDIUM,"in rock , particularly limestone",
HAS_CAUSE,produced by erosion or solution,produced by
HAS_FUNCTION,from which stream flows out or formerly did so,
HAS_CAUSE,area that has been buried by later sediments,
CONTAINS,ancient caves have been completely filled by the later sediments,
HAS_LOCATION,"In a cave ,",In a
HAS_CAUSE,spared during solution of the rock on each side of it .,
COMPOSITION_MEDIUM,of crystalline calcium carbonate,of
HAS_FORM,flat protruding sheet,
HAS_LOCATION,in a cave .,in a
HAS_CAUSE,residual,
HAS_FORM,nearly vertical residual rock mass,
HAS_FORM,Rounded or conical-shaped,
HAS_CAUSE,resulting from tropical humid karst action,resulting from
HAS_LOCATION,in the zone of saturation,in the
HAS_LOCATION,below the water table,below the
HAS_LOCATION,below the water table,below the
HAS_FUNCTION,in which rock is saturated with water,
HAS_CAUSE,remaining after solution of the surrounding rock,remaining after
HAS_FORM,column of rock,
HAS_LOCATION,in a cave,in a
HAS_FORM,reaches from roof to floor,reaches
HAS_FORM,tall thin,
HAS_FORM,does not reach the roof of a cave,
HAS_FORM,in the form of conduits,in the form of
OCCURS_IN_TIME,when the hydraulic head exceeds a certain critical value,when
COMPOSITION_MEDIUM,through permeable materials,through
HAS_CAUSE,by water under pressure,by
HAS_RESULT,Formation of a passage,Formation of a
HAS_FORM,"deep hole , generally circular in outline , having vertical or nearly vertical walls",having
HAS_FORM,having sharply pointed peak,having
COMPOSITION_MEDIUM,Limestone,
HAS_LOCATION,emerging from karstified limestone,emerging from
CONTAINS,dominated by features of solutional origin,dominated by
HAS_FORM,Elongate,
HAS_CAUSE,solution,
HAS_CAUSE,produced by collapse of a cavern roof,produced by
HAS_FUNCTION,"revealing a part of a subterranean river flowing across its floor , or an unroofed part of a cave",revealing a part of
HAS_FORM,small natural bridge or arch,
HAS_FUNCTION,can be seen through,can be
HAS_RESULT,"produces features of a karst topography , including such surface features as dolines , Karren , and mogotes and such subsurface features as caves and shafts",produces
HAS_CAUSE,"Action by water , mainly chemical but also mechanical",Action by
HAS_ATTRIBUTE,characterized by karst topography,characterized by
HAS_FORM,closed depression,
HAS_FORM,swallow hole,
CONTAINS,"characterized by numerous , closely spaced hemispherical - , or tower-shaped hills",characterized by
CONTAINS,intervening closed depressions and narrow steep-walled karst valleys or passageways,
HAS_FORM,"in cross section , rounded at the top , constricted in the middle , and rectangular or flared out below",
HAS_LOCATION,in a cave,in a
HAS_FORM,"larger , more pronounced , and more widely separated than cave coral",
HAS_LOCATION,developed in the same horizontal plane,developed in
HAS_LOCATION,Within a cave,Within a
HAS_FORM,group of passages,
DEFINED_AS,The altitudinal relation of a cave floor to an outside surface,
HAS_FORM,swallow hole,
HAS_FUNCTION,Fossil or abandoned,
COMPOSITION_MEDIUM,"consisting chiefly of calcium carbonate , CaCO",consisting chiefly of
HAS_CAUSE,sedimentary,
HAS_LOCATION,in a cave,in a
HAS_SIZE,largest order of cavity,
HAS_SIZE,not necessarily great height,
HAS_SIZE,with considerable width and length,with considerable
HAS_FUNCTION,blocking part of a cave,
HAS_FORM,from floor to ceiling,
HAS_CAUSE,by the growth of either to meet bedrock,
HAS_CAUSE,formed by the growth and joining of a stalactite and a stalagmite,formed by
CONTAINS,completely filled with water,
HAS_ATTRIBUTE,under hydrostatic pressure,
HAS_LOCATION,underground,
HAS_FORM,circular or elliptical passage,
HAS_CAUSE,"by mechanical action of moving agents , especially water",by
HAS_RESULT,wearing away of bedrock or loose sediment,
HAS_ATTRIBUTE,often translucent and resonant,
HAS_FORM,in the form of a wavy or folded sheet,in the form of
HAS_LOCATION,hanging from the roof or wall of a cave,hanging from
HAS_LOCATION,part of a cave which daylight does not reach,part of a
HAS_FUNCTION,that subsist by extracting energy from tissues of dead animals and plants.detritivore,subsist by
COMPOSITION_MEDIUM,in karst,
HAS_SIZE,from a few to many hundreds of metres in dimension,in dimension
HAS_FORM,closed depression,
HAS_FUNCTION,draining underground,
HAS_FORM,"of simple but variable form , e.g . , cylindrical , conical , bowl - or dish-shaped",of|form
COMPOSITION_MEDIUM,consisting of the double carbonate of magnesium and calcium,consisting of
COMPOSITION_MEDIUM,generally in mechanically weak rocks,in
HAS_FORM,hemispheroidal hollow,
HAS_LOCATION,in the roof of a cave,in the
HAS_SIZE,large,
HAS_CAUSE,formed by breakdown and / or salt weathering,formed by
HAS_LOCATION,cave floor,
HAS_CAUSE,formed by water dripping onto the cave floor,formed by
HAS_LOCATION,at a cave entrance,at a
HAS_LOCATION,on the ground,on the
HAS_CAUSE,formed by drips from the rock above,formed by
HAS_FUNCTION,useful in cave survey to define the beginning of the cave,useful in
HAS_CAUSE,formed from drops falling from cave roofs or walls,formed from
COMPOSITION_MEDIUM,usually of calcite,usually of
CONTAINS,without a running stream,without a
HAS_CAUSE,without the assistance of water,
HAS_LOCATION,down-slope,
HAS_LOCATION,hanging from the ceiling,hanging from
HAS_SIZE,centimeter to meter in scale,in scale
HAS_ATTRIBUTE,growing toward the cave floor,
HAS_CAUSE,formed by a thin flowing film of water itself fed by groups of dripping stalactites,formed by
HAS_LOCATION,coat the cave floor and walls,coat the
HAS_FORM,characterized by a central canal with constant diameter and by a wall structure that is controlled by geometric selection during growth,characterized by
HAS_CAUSE,generated by axial feeding,generated by
HAS_FORM,convex deposits that grow upward,
HAS_CAUSE,fed by an overhanging stalactite,fed by
HAS_FORM,"show flat , rounded , or slightly hollow tops , but not a central canal",show
COMPOSITION_MEDIUM,zone of bedrock modified by solution located at or near the surface,
HAS_ATTRIBUTE,a covering of soil or some other material making up the land surface,
CONTAINS,drainage path for the surface water runoff to follow,
HAS_LOCATION,the point at which a sinking stream heads underground,the point at which
HAS_FORM,"sinkholes that form in a stream bed , often with a large vertical shaft beneath",
HAS_FUNCTION,direct runoff into an underground channelóin,
COMPOSITION_MEDIUM,karstic terrain,
HAS_SIZE,large,
HAS_CAUSE,created by progressive stoping above sites of interstratal dissolution,created by
COMPOSITION_MEDIUM,gypsum karst,
HAS_FORM,hollow domes,
HAS_FORM,round or elliptical in plan,
COMPOSITION_MEDIUM,of freshly formed gypsum,of
CONTAINS,microrills,
HAS_CAUSE,where sheetflow or wash on a slope breaks down into linear threads,
HAS_LOCATION,karst in humid areas,in
HAS_ATTRIBUTE,not all carbonate rocks support them,
HAS_LOCATION,in the humid tropics and subtropics,in
HAS_POSITION,Gunung Api,
HAS_POSITION,"Mount Kaijende , New Guinea",
HAS_POSITION,Mulu,
HAS_SIZE,small-scale,
HAS_FUNCTION,preserving important archaeological evidence as well as sediments and deposits that provide clues to past environments,preserving
HAS_ATTRIBUTE,"exhibit complex morphologies , ecologies , and water chemistries",exhibit
HAS_LOCATION,in the carbonate rock of the islands,in
HAS_FORM,water-filled vertical openings,
HAS_CAUSE,"composite result of carbonate deposition and dissolution cycles , which have been controlled by glacial sea-level fluctuations",result of
CONTAINS,"contain tidally influenced waters of fresh , marine , or mixed chemistry",contain
HAS_FUNCTION,provide access to submerged cave passages,provide
HAS_FORM,open to the Earth ’ s surface,open to
HAS_LOCATION,developed in carbonate banks and islands,developed in
HAS_LOCATION,extend below sea-level for a majority of their depth,extend below
AFFECTS,solution and precipitation of speleothems,
AFFECTS,solution of limestone,
DEFINED_AS,describing processes of compaction and / or cementation of the initially unconsolidated carbonate mud and debris,describing
HAS_RESULT,compaction and / or cementation of the initially unconsolidated carbonate mud and debris,
HAS_CAUSE,product of diagenesis,product of
HAS_FUNCTION,into which a stream flews or formerly entered,into which
COMPOSITION_MEDIUM,in limestone,in
HAS_FORM,Vertical or steeply inclined shaft,
HAS_SIZE,high in relation to width,
HAS_LOCATION,developed along steeply dipping joint planes,developed along
HAS_FORM,Channels or furrows,
HAS_CAUSE,caused by solution,caused by
HAS_SIZE,vary in depth from a few millimeters to more than a meter,from|to
COMPOSITION_MEDIUM,on massive bare limestone surfaces,on
HAS_FORM,separated by ridges,
HAS_SIZE,2 - 3 centimeters apart,centimeters apart
HAS_FORM,shallow channels separated by sharp ridges,
HAS_FORM,flat-bottomed grooves,
HAS_SIZE,several centimeters apart,centimeters apart
HAS_CAUSE,joints enlarged by solution,enlarged by
HAS_LOCATION,extending down from steep spires or pinnacles,extending down from
HAS_SIZE,large deep grooves,
HAS_SIZE,small,
HAS_FORM,winding or meandering channels,
HAS_CAUSE,reexhumed after formation under soil or peat,
HAS_FORM,having rounded channels and intervening rounded ridges,having
HAS_LOCATION,formed beneath the soil,formed beneath
CONTAINS,dominated by Karren,dominated by
COMPOSITION_MEDIUM,of limestone,of
CONTAINS,"commonly characterized by Karren , closed depressions , subterranean drainage , and caves",commonly characterized by
HAS_CAUSE,formed by the dissolving of rock,formed by the
COMPOSITION_MEDIUM,underlain by limestone,underlain by
COMPOSITION_MEDIUM,surrounded by rocks of low permeability,surrounded by
HAS_FUNCTION,karstification does not take place,
HAS_CAUSE,natural,
COMPOSITION_MEDIUM,in limestone,in
HAS_FORM,bridge or arch,
HAS_LOCATION,developed in sinkhole terrain,developed in
HAS_LOCATION,in extensive closed depression,
CONTAINS,standing water,
COMPOSITION_MEDIUM,in limestone,in
HAS_FUNCTION,"having a cover of impervious detritus , which allows surface drainage",which allows
HAS_FORM,plain,
COMPOSITION_MEDIUM,generally on limestone between higher country of limestone on one side and of less pervious rocks on the other,generally on
HAS_FORM,plain,
CONTAINS,"closed depressions , subterranean drainage , and other karst features",
CONTAINS,containing standing water,containing
HAS_LOCATION,in a karst area,in a
HAS_FORM,Closed depression,
HAS_CAUSE,originates from a karst spring,originates from
COMPOSITION_MEDIUM,"Calcium carbonate , CaCO2",
HAS_CAUSE,deposited from solution in ground and surface waters,deposited from
HAS_FORM,light in color and generally concretionary and compact,
HAS_FORM,smooth-surfaced,
HAS_FORM,of elliptical or nearly circular cross section,
COMPOSITION_MEDIUM,in limestone or in glacial drift over limestone,in
HAS_FUNCTION,that is liable to flood either from excess surface runoff or from rising ground water,
HAS_FORM,closed,
HAS_CAUSE,formed by the coalesence of several dolines,formed by
HAS_SIZE,Large,
HAS_LOCATION,above the zone of saturation,above the
HAS_LOCATION,ir the zone of aeration,ir the
HAS_FORM,series of interconnecting depressions forming a valleylike depression,
HAS_FORM,elongated closed,
HAS_ATTRIBUTE,that varies greatly in output,
HAS_SIZE,large,
HAS_FUNCTION,is impenetrable except with diving apparatus,
COMPOSITION_MEDIUM,generally from limestone,generally from
HAS_CAUSE,which has fallen outward from the wall of a cave in limestone,
HAS_FORM,thin,
HAS_SIZE,large,
HAS_LOCATION,A place where the roof of a chamber or passage of a cave dips under water but lifts again farther on,A place where the
HAS_LOCATION,sunk into the earth,sunk into
HAS_FUNCTION,"to obtain water , oil , gas , or minerals",to obtain
HAS_FORM,vertical rounded,
HAS_FORM,deep vertical rounded,
HAS_LOCATION,in the floor of a cave or at the bottom of a closed depression,in the floor of|at the bottom of a
HAS_SIZE,deep,
HAS_FORM,larger and less symmetrical than a porthole,
HAS_LOCATION,above the floor of a passage or a room,above the
HAS_FUNCTION,giving access to an adjoining cavity or to the surface,
HAS_LOCATION,under the arch of a small natural bridge,under the
HAS_CAUSE,natural,
HAS_SIZE,small,
HAS_CAUSE,Apparently they form by the widening and deepening of joints by solution,
HAS_POSITION,In Puerto Pico,
HAS_CAUSE,solution,
COMPOSITION_MEDIUM,in limestone,
HAS_SIZE,Zanjones range from a few centimeters to about 3 meters in width and from about 1 to 4 meters in depth,in depth|in width
COMPOSITION_MEDIUM,in permeable soil or rock,
HAS_LOCATION,above the zone saturated with water,above the zone
HAS_FUNCTION,"in which a river passage , or former river passage , is entered from above or laterally and which can be for owed upstream and downstream some distance but not to daylight",
HAS_LOCATION,"where a stream , which has a course on the surface higher up , reappears at the surface",where
DEFINED_AS,detachment of particles of various sizes from a rock surface,
HAS_CAUSE,by the growth of crystals from salt solutions,by the
HAS_CAUSE,formed by wave attack or solution,formed by
OCCURS_IN_TIME,in present-day or emerged sea diffs,
HAS_FORM,roughly equal in horizontal dimensions but much deeper than broad,roughly
HAS_FORM,a vertical cavity,
HAS_FORM,simple triangular-shaped,
