Sentence #,Word,Tag_predicted
Sentence: 64,Kraška,B-DEFINIENDUM
,polja,I-DEFINIENDUM
,sodijo,O
,med,O
,največje,O
,kraške,B-SUBJECT
,kotanje,I-SUBJECT
,.,O
Sentence: 65,Vrtača,B-SUBJECT
,je,O
,manj,B-SUBJECT
,ša,O
,oblika,O
,kraške,B-SUBJECT
,globeli,I-SUBJECT
,",",O
,ki,B-SUBJECT
,je,B-SUBJECT
,bolj,I-SUBJECT
,široka,I-SUBJECT
,kot,I-SUBJECT
,globoka,I-SUBJECT
,.,O
Sentence: 66,Kraška,B-DEFINIENDUM
,polja,I-DEFINIENDUM
,so,O
,največje,B-SUBJECT
,oblike,B-SUBJECT
,kraških,B-SUBJECT
,kotanj,I-SUBJECT
,na,B-SUBJECT
,krasu,I-SUBJECT
,.,O
Sentence: 67,Pojav,B-SUBJECT
,prištevamo,O
,k,O
,skalnim,B-SUBJECT
,podorom,I-SUBJECT
,in,O
,ga,O
,v,O
,geografiji,O
,imenujemo,O
,kamniti,B-DEFINIENDUM
,zdrs,I-DEFINIENDUM
,.,O
Sentence: 68,Erozijski,B-DEFINIENDUM
,jarki,I-DEFINIENDUM
,so,O
,fluvialna,B-SUBJECT
,erozijska,B-SUBJECT
,oblika,I-SUBJECT
,",",O
,ki,O
,je,O
,na,B-SUBJECT
,proučevanih,I-SUBJECT
,območjih,I-SUBJECT
,najpogostej,O
,ša,PAD
,na,B-SUBJECT
,pobočjih,I-SUBJECT
,kotanj,I-SUBJECT
,.,O
Sentence: 69,V,O
,literaturi,O
,je,O
,kontaktni,B-DEFINIENDUM
,kras,I-DEFINIENDUM
,največkrat,O
,definiran,O
,kot,O
,stik,B-SUBJECT
,med,I-SUBJECT
,nekarbonatnimi,I-SUBJECT
,in,I-SUBJECT
,karbonatnimi,I-SUBJECT
,kamninami,I-SUBJECT
,.,O
Sentence: 70,Fluviokras,B-DEFINIENDUM
,tuja,O
,literatura,O
,opredeljuje,O
,kot,O
,površje,B-SUBJECT
,na,B-SUBJECT
,karbonatnih,I-SUBJECT
,kamninah,I-SUBJECT
,",",O
,kjer,O
,so,O
,prevladujoče,O
,oblike,O
,na,B-SUBJECT
,površju,I-SUBJECT
,doline,I-SUBJECT
,",",O
,ki,O
,so,I-SUBJECT
,jih,I-SUBJECT
,oblikovale,I-SUBJECT
,površinske,I-SUBJECT
,reke,I-SUBJECT
,.,O
Sentence: 71,Fluviokraško,B-DEFINIENDUM
,površje,I-DEFINIENDUM
,je,O
,prehodna,O
,oblika,O
,kraškega,B-SUBJECT
,reliefa,I-SUBJECT
,",",O
,kjer,B-SUBJECT
,prevladuje,I-SUBJECT
,odnašanje,I-SUBJECT
,materiala,I-SUBJECT
,in,O
,se,O
,površje,I-SUBJECT
,mestoma,O
,preoblikuje,I-SUBJECT
,fluvialno,I-SUBJECT
,.,O
Sentence: 72,Erozijski,B-DEFINIENDUM
,jarki,I-DEFINIENDUM
,so,O
,tipična,O
,fluviokraška,I-SUBJECT
,oblika,I-SUBJECT
,",",O
,kjer,B-SUBJECT
,se,O
,zaradi,B-SUBJECT
,lokalne,I-SUBJECT
,prevlade,I-SUBJECT
,mehanskega,I-SUBJECT
,odtoka,I-SUBJECT
,materiala,I-SUBJECT
,površje,I-SUBJECT
,preoblikuje,I-SUBJECT
,fluvialno,I-SUBJECT
,.,O
Sentence: 73,V,O
,literaturi,O
,so,O
,ponikve,B-DEFINIENDUM
,definirane,O
,kot,O
,vertikalni,B-SUBJECT
,odtoki,B-SUBJECT
,površinske,I-SUBJECT
,vode,I-SUBJECT
,v,B-SUBJECT
,podzemlje,I-SUBJECT
,",",O
,kjer,B-SUBJECT
,je,I-SUBJECT
,površje,I-SUBJECT
,delno,I-SUBJECT
,ali,I-SUBJECT
,povsem,I-SUBJECT
,prekrito,I-SUBJECT
,z,I-SUBJECT
,naplavino,I-SUBJECT
,.,O
Sentence: 74,Slepe,B-SUBJECT
,doline,I-SUBJECT
,so,O
,najbolj,O
,značilna,O
,oblika,O
,ponornega,B-SUBJECT
,kontaktnega,I-SUBJECT
,krasa,I-SUBJECT
,.,O
Sentence: 75,Paragenezo,B-DEFINIENDUM
,razumemo,O
,kot,O
,proces,B-SUBJECT
,erodiranja,I-SUBJECT
,in,O
,korodiranja,I-SUBJECT
,jamskega,I-SUBJECT
,stropa,I-SUBJECT
,do,I-SUBJECT
,gladine,I-SUBJECT
,podzemne,I-SUBJECT
,vode,I-SUBJECT
,ter,O
,akumulacije,I-SUBJECT
,alogenega,B-SUBJECT
,materiala,I-SUBJECT
,na,B-SUBJECT
,dno,I-SUBJECT
,rova,I-SUBJECT
,.,O
Sentence: 76,Tafon,B-SUBJECT
,in,O
,niša,B-SUBJECT
,(,O
,spodmoli,O
,),O
,sta,O
,dve,O
,različni,O
,reliefni,B-SUBJECT
,obliki,I-SUBJECT
,",",O
,čeprav,O
,naj,O
,bi,O
,obe,O
,obliki,I-SUBJECT
,nastali,B-SUBJECT
,z,I-SUBJECT
,votlinastim,I-SUBJECT
,preperevanjem,I-SUBJECT
,.,O
,Po,O
,drugi,O
,strani,O
,imamo,O
,avtorje,O
,",",O
,ki,O
,spodmole,O
,enačijo,O
,s,O
,tafoni,O
,.,O
Sentence: 77,Geomorfologija,B-DEFINIENDUM
,je,O
,veda,B-SUBJECT
,",",O
,ki,O
,razlaga,B-SUBJECT
,odnose,I-SUBJECT
,med,I-SUBJECT
,geomorfnimi,I-SUBJECT
,procesi,I-SUBJECT
,in,O
,reliefnimi,I-SUBJECT
,oblikami,I-SUBJECT
,.,O
Sentence: 78,Spodnji,B-SUBJECT
,del,B-SUBJECT
,plazu,I-SUBJECT
,imenujemo,O
,čelo,B-DEFINIENDUM
,.,O
Sentence: 79,Dinarski,B-DEFINIENDUM
,kras,I-DEFINIENDUM
,je,O
,kompletno,B-SUBJECT
,razvit,O
,kras,I-SUBJECT
,",",O
,katerega,O
,značilnost,O
,so,O
,velike,B-SUBJECT
,kraške,O
,depresije,I-SUBJECT
,ali,O
,z,O
,drugimi,O
,besedami,O
,kraška,O
,polja,O
,.,O
Sentence: 80,Zoogena,B-DEFINIENDUM
,breča,I-DEFINIENDUM
,je,O
,značilna,O
,kamnina,B-SUBJECT
,tega,I-SUBJECT
,obdobja,I-SUBJECT
,",",O
,ki,O
,je,B-SUBJECT
,nastala,B-SUBJECT
,predvsem,I-SUBJECT
,iz,I-SUBJECT
,ostankov,I-SUBJECT
,favnističnega,I-SUBJECT
,izvora,I-SUBJECT
,.,O
Sentence: 81,Jarkovna,B-DEFINIENDUM
,erozija,I-DEFINIENDUM
,je,O
,globinska,B-SUBJECT
,erozija,I-SUBJECT
,",",O
,pri,O
,kateri,O
,na,O
,primer,O
,z,O
,zdruèvanjem,I-SUBJECT
,erozijskih,I-SUBJECT
,žlebičev,I-SUBJECT
,nastajajo,O
,več,I-SUBJECT
,metrov,I-SUBJECT
,globoko,I-SUBJECT
,in,O
,več,I-SUBJECT
,deset,I-SUBJECT
,metrov,I-SUBJECT
,dolgi,I-SUBJECT
,erozijski,O
,jarki,O
,.,O
Sentence: 82,Plazovitost,B-DEFINIENDUM
,je,O
,skladnost,B-SUBJECT
,med,O
,usmerjenostjo,I-SUBJECT
,pobočij,I-SUBJECT
,in,O
,vpadom,I-SUBJECT
,kamninskih,I-SUBJECT
,plasti,I-SUBJECT
,.,O
Sentence: 83,Spodmoli,B-SUBJECT
,so,O
,vdolbine,B-SUBJECT
,v,B-SUBJECT
,navpičnih,I-SUBJECT
,stenah,I-SUBJECT
,pod,B-SUBJECT
,previsi,I-SUBJECT
,",",O
,ki,B-SUBJECT
,navadno,O
,ne,I-SUBJECT
,dosegajo,I-SUBJECT
,dimenzij,I-SUBJECT
,jam,I-SUBJECT
,",",O
,njihova,B-SUBJECT
,širina,I-SUBJECT
,pa,O
,je,I-SUBJECT
,večja,I-SUBJECT
,od,I-SUBJECT
,globine,I-SUBJECT
,.,O
Sentence: 84,Dolci,B-DEFINIENDUM
,so,O
,v,O
,Sloveniji,O
,značilni,B-SUBJECT
,za,B-SUBJECT
,dolomitna,I-SUBJECT
,površja,I-SUBJECT
,",",O
,njihova,B-SUBJECT
,morfogeneza,I-SUBJECT
,pa,O
,je,I-SUBJECT
,vezana,I-SUBJECT
,na,I-SUBJECT
,delovanje,I-SUBJECT
,fluviokraških,I-SUBJECT
,procesov,I-SUBJECT
,.,O
Sentence: 85,Dolci,B-DEFINIENDUM
,",",O
,tudi,O
,dolki,O
,",",O
,so,O
,plitve,B-SUBJECT
,dolinaste,B-SUBJECT
,reliefne,B-SUBJECT
,oblike,I-SUBJECT
,brez,B-SUBJECT
,površinskega,I-SUBJECT
,vodnega,I-SUBJECT
,pretakanja,I-SUBJECT
,.,O
Sentence: 86,Dolec,B-DEFINIENDUM
,je,O
,značilna,O
,oblika,B-SUBJECT
,dolomitnega,B-SUBJECT
,površja,I-SUBJECT
,.,O
Sentence: 87,Dolek,B-DEFINIENDUM
,oziroma,O
,dolec,B-DEFINIENDUM
,je,O
,geomorfološka,B-SUBJECT
,oblika,I-SUBJECT
,",",O
,ki,O
,je,O
,zelo,O
,sorodna,O
,suhi,O
,dolini,O
,in,O
,se,O
,od,O
,nje,I-SUBJECT
,razlikuje,O
,zgolj,O
,po,O
,velikosti,O
,.,O
Sentence: 88,V,O
,kraški,B-DEFINIENDUM
,hidrologiji,I-DEFINIENDUM
,pomeni,O
,piezometrični,B-DEFINIENDUM
,nivo,I-SUBJECT
,oziroma,O
,nivo,O
,podzemne,I-SUBJECT
,vode,I-SUBJECT
,v,B-SUBJECT
,krasu,I-SUBJECT
,navidezno,O
,višino,I-SUBJECT
,vode,I-SUBJECT
,v,B-SUBJECT
,kanalih,I-SUBJECT
,",",O
,ki,B-SUBJECT
,vodijo,I-SUBJECT
,proti,I-SUBJECT
,izviru,I-SUBJECT
,.,O
Sentence: 89,Dejavnike,B-SUBJECT
,",",O
,ki,O
,v,B-SUBJECT
,sistemu,I-SUBJECT
,dokončno,I-SUBJECT
,podrejo,I-SUBJECT
,ravnovesje,O
,imenujemo,O
,"""",O
,povod,O
,"""",O
,za,O
,nastanek,O
,zemeljskih,O
,plazov,O
,.,O
Sentence: 90,Abrazija,B-DEFINIENDUM
,je,O
,destrukcijsko,B-SUBJECT
,delo,I-SUBJECT
,morskih,O
,in,O
,jezerskih,O
,valov,I-SUBJECT
,.,O
Sentence: 91,Erozija,B-SUBJECT
,prsti,I-SUBJECT
,je,O
,oznaka,O
,za,O
,proces,B-SUBJECT
,",",O
,ki,O
,povečini,O
,prizadene,O
,prst,I-SUBJECT
,.,O
Sentence: 92,Premikanje,B-SUBJECT
,preperine,I-SUBJECT
,oziroma,O
,preperinski,O
,tok,I-SUBJECT
,povzroči,O
,nagubanje,I-SUBJECT
,sklenjene,I-SUBJECT
,travne,I-SUBJECT
,ruše,I-SUBJECT
,",",O
,zaradi,O
,česar,O
,je,O
,na,B-SUBJECT
,površju,I-SUBJECT
,viden,I-SUBJECT
,grbinast,B-SUBJECT
,relief,I-SUBJECT
,.,O
Sentence: 93,Bruhalniki,B-DEFINIENDUM
,so,O
,kraški,B-SUBJECT
,izviri,I-SUBJECT
,",",O
,ki,O
,obdobno,B-SUBJECT
,bruhajo,I-SUBJECT
,vodo,I-SUBJECT
,na,B-SUBJECT
,površje,I-SUBJECT
,.,O
Sentence: 94,Korozija,B-DEFINIENDUM
,je,B-SUBJECT
,posledica,B-SUBJECT
,večje,I-SUBJECT
,količine,I-SUBJECT
,vode,I-SUBJECT
,v,B-SUBJECT
,nižjih,I-SUBJECT
,legah,I-SUBJECT
,.,O
Sentence: 95,Erozijski,B-DEFINIENDUM
,jarki,I-DEFINIENDUM
,so,O
,stalna,O
,reliefna,B-SUBJECT
,oblika,I-SUBJECT
,",",O
,pogosta,B-SUBJECT
,na,B-SUBJECT
,strmih,I-SUBJECT
,pobočjih,I-SUBJECT
,.,O
Sentence: 96,Mikrožlebiči,B-DEFINIENDUM
,so,O
,vzporedne,B-SUBJECT
,",",O
,ravno,I-SUBJECT
,potekajoče,I-SUBJECT
,podolgovate,I-SUBJECT
,vdolbine,B-SUBJECT
,",",O
,ki,B-SUBJECT
,se,O
,pojavljajo,I-SUBJECT
,na,B-SUBJECT
,bolj,I-SUBJECT
,nagnjeni,I-SUBJECT
,goli,I-SUBJECT
,skalni,I-SUBJECT
,površini,I-SUBJECT
,.,O
Sentence: 97,Korozijske,B-DEFINIENDUM
,stopničke,I-DEFINIENDUM
,so,O
,polkrožne,B-SUBJECT
,kraške,B-SUBJECT
,reliefne,I-SUBJECT
,oblike,I-SUBJECT
,",",O
,ki,O
,se,O
,pojavljajo,I-SUBJECT
,predvsem,I-SUBJECT
,na,B-SUBJECT
,golem,I-SUBJECT
,skalnem,I-SUBJECT
,površju,I-SUBJECT
,.,O
